,NAME,TYPE,LATITUDE,LONGITUDE,FULL_NAME,NAVAID_TYPE,RADIO_NAVAID_KIND,FREQU1,FREQU2,SIGN,ANGLE,ELEVATION,FIR_UIR_NAME,STATE,USAGE,TURN_TYPE,Unnamed: 16,LAT,LON
0,PT222,NAV,0343N34,10718E56,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,3.7261111111111114,107.31555555555555
1,MABLI,NAV,0417N16,10612E46,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,4.2877777777777775,106.21277777777777
2,SUSAR,NAV,0358N47,10515E46,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,3.979722222222222,105.26277777777777
3,WP002,NAV,0223N16,10352E19,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,2.3877777777777776,103.87194444444444
4,DAMOG,NAV,0412N25,10500E14,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,4.206944444444445,105.0038888888889
5,PT111,NAV,0434N53,10624E31,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,4.581388888888888,106.40861111111111
6,WP061,NAV,0310N40,10409E43,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,3.1777777777777776,104.16194444444444
7,OMLIV,NAV,0255N11,10628E11,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,2.919722222222222,106.46972222222223
8,MABAL,NAV,0328N26,10512E35,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,3.473888888888889,105.20972222222223
9,KILOT,NAV,0302N16,10440E22,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,3.0377777777777775,104.67277777777778
10,MUMSO,NAV,0344N20,10532E13,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,3.738888888888889,105.53694444444444
11,PEKLA,NAV,0234N37,10406E18,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,2.576944444444444,104.10499999999999
12,LIPRO,NAV,0253N42,10511E27,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,2.895,105.19083333333333
13,BOBOB,NAV,0222N04,10705E56,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,2.367777777777778,107.09888888888888
14,LEBIN,NAV,0314N38,10606E03,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,3.243888888888889,106.10083333333333
15,OTLON,NAV,0307N51,10420E05,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,3.1308333333333334,104.33472222222221
16,ELGOR,NAV,0330N14,10548E18,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,3.503888888888889,105.80499999999999
17,BUNTO,NAV,0240N08,10559E52,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,2.6688888888888886,105.99777777777778
18,LUSMO,NAV,0333N39,10655E33,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,3.560833333333333,106.92583333333334
19,ONAPO,NAV,0321N14,10623E16,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,3.353888888888889,106.38777777777779
20,OMBAP,NAV,0231N15,10632E42,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,2.5208333333333335,106.545
21,VISAT,NAV,0326N20,10431E33,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,3.438888888888889,104.52583333333334
22,WP071,NAV,0241N23,10439E32,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,2.6897222222222226,104.6588888888889
23,WP059,NAV,0324N32,10355E44,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,3.408888888888889,103.92888888888889
24,OPULA,NAV,0331N55,10621E18,,DESIGNATED_POINT,,,,,,,,,GATEWAY,,,3.5319444444444446,106.35499999999999
